Time[s],CCU_HVPPTargetDutyPs_Perc[%],CCU_HVPPTargetDutyDr_Perc[%],HVPP__CstPwrPs_W[W],HVPP__CstPwrDr_W[W]
62,10,10,52,52
140,10.5,10.5,71,71
233,11,11,84,84
284,11.5,11.5,110,110
347,12,12,123,123
381,12.5,12.5,150,150
446,13,13,163,163
527,13.5,13.5,182,182
594,14,14,208,208
667,14.5,14.5,228,228
737,15,15,247,247
822,15.5,15.5,261,261
874,16,16,280,280
955,16.5,16.5,306,306
1013,17,17,319,319
1071,17.5,17.5,339,339
1150,18,18,358,358
1190,18.5,18.5,384,384
1255,19,19,398,398
1295,19.5,19.5,417,417
1317,20,20,436,436
1347,20.5,20.5,457,456
1388,21,21,482,482
1426,21.5,21.5,495,495
1447,22,22,515,515
1483,22.5,22.5,534,534
1512,23,23,554,554
1536,23.5,23.5,580,580
1569,24,24,593,593
1605,24.5,24.5,613,612
1627,25,25,633,633
1658,25.5,25.5,651,651
1680,26,26,671,671
1710,26.5,26.5,691,691
1744,27,27,710,710
1766,27.5,27.5,729,729
1790,28,28,749,749
1818,28.5,28.5,770,757
1853,29,29,788,788
1883,29.5,29.5,802,803
1909,30,30,828,828
1935,30.5,30.5,841,847
1958,31,31,866,866
1983,31.5,31.5,888,888
2023,32,32,900,900
2050,32.5,32.5,923,923
2068,33,33,940,940
2108,33.5,33.5,959,965
2140,34,34,983,983
2173,34.5,34.5,999,999
2202,35,35,1018,1018
2239,35.5,35.5,1036,1036
2253,36,36,1058,1058
2284,36.5,36.5,1077,1077
2305,37,37,1095,1095
2337,37.5,37.5,1117,1116
2364,38,38,1136,1136
2379,38.5,38.5,1155,1155
2403,39,39,1173,1173
2421,39.5,39.5,1199,1199
2444,40,40,1214,1214
2468,40.5,40.5,1233,1233
2491,41,41,1251,1251
2511,41.5,41.5,1272,1272
2532,42,42,1299,1299
2557,42.5,42.5,1311,1311
2596,43,43,1330,1330
2616,43.5,43.5,1352,1352
2641,44,44,1370,1370
2652,44.5,44.5,1384,1384
2683,45,45,1408,1408
2706,45.5,45.5,1430,1430
2730,46,46,1449,1449
2749,46.5,46.5,1466,1466
2777,47,47,1487,1487
2797,47.5,47.5,1508,1508
2816,48,48,1521,1528
2843,48.5,48.5,1543,1546
2861,49,49,1563,1563
2886,49.5,49.5,1588,1588
2916,50,50,1606,1600
2940,50.5,50.5,1629,1616
2962,51,51,1640,1646
2978,51.5,51.5,1662,1662
2998,52,52,1673,1686
3031,52.5,52.5,1695,1701
3054,53,53,1716,1717
3071,53.5,53.5,1739,1739
3094,54,54,1757,1757
3118,54.5,54.5,1774,1773
3131,55,55,1792,1792
3155,55.5,55.5,1817,1817
3174,56,56,1836,1836
3191,56.5,56.5,1854,1854
3216,57,57,1871,1872
3234,57.5,57.5,1894,1893
3254,58,58,1910,1910
3286,58.5,58.5,1932,1932
3310,59,59,1951,1950
3323,59.5,59.5,1971,1971
3357,60,60,1991,1991
3367,60.5,60.5,2006,2006
3393,61,61,2027,2027
3418,61.5,61.5,2054,2048
3437,62,62,2070,2070
3462,62.5,62.5,2087,2080
3482,63,63,2109,2108
3502,63.5,63.5,2125,2126
3523,64,64,2146,2146
3546,64.5,64.5,2164,2164
3577,65,65,2183,2178
3601,65.5,65.5,2205,2205
3627,66,66,2223,2223
3650,66.5,66.5,2241,2235
3672,67,67,2256,2255
3690,67.5,67.5,2283,2283
3709,68,68,2295,2307
3734,68.5,68.5,2317,2317
3756,69,69,2336,2335
3775,69.5,69.5,2359,2360
3795,70,70,2382,2375
3820,70.5,70.5,2394,2389
3848,71,71,2411,2413
3868,71.5,71.5,2440,2439
3886,72,72,2458,2458
3913,72.5,72.5,2473,2473
3938,73,73,2495,2487
3962,73.5,73.5,2519,2514
3983,74,74,2537,2530
4003,74.5,74.5,2549,2540
4035,75,75,2567,2574
4053,75.5,75.5,2584,2598
4077,76,76,2608,2608
4108,76.5,76.5,2626,2618
4124,77,77,2650,2647
4150,77.5,77.5,2668,2668
4191,78,78,2683,2683
4215,78.5,78.5,2707,2706
4238,79,79,2727,2728
4280,79.5,79.5,2738,2737
4308,80,80,2768,2764
4338,80.5,80.5,2791,2778
4384,81,81,2801,2803
4406,81.5,81.5,2824,2825
4441,82,82,2835,2834
4500,82.5,82.5,2869,2863
4518,83,83,2883,2868
4566,83.5,83.5,2896,2896
4596,84,84,2917,2918
4650,84.5,84.5,2938,2931
4755,85,85,2961,2965
4768,85.5,85.5,2975,2974
4832,86,86,2999,2994
4853,86.5,86.5,3013,3006
4939,87,87,3038,3039
5020,87.5,87.5,3059,3054
5088,88,88,3076,3075
5122,88.5,88.5,3092,3093
5221,89,89,3112,3107
5295,89.5,89.5,3132,3132
5400,90,90,3494,3350
