Time[s],CCU_HVREARTargetDutyFloor_Perc[flag],CCU_HVREARTargetDutyRoof_Perc[flag],HVRear__CstPwrFloor_W[W],HVRear__CstPwrRoof_W[W]
80,10,10,46,46
146,10.5,10.5,65,59
183,11,11,79,72
232,11.5,11.5,92,85
276,12,12,105,92
375,12.5,12.5,118,105
396,13,13,132,118
427,13.5,13.5,145,125
473,14,14,158,132
490,14.5,14.5,178,145
523,15,15,184,158
566,15.5,15.5,198,165
592,16,16,211,178
630,16.5,16.5,237,191
655,17,17,244,197
694,17.5,17.5,257,211
725,18,18,270,217
759,18.5,18.5,283,237
790,19,19,297,237
824,19.5,19.5,310,250
852,20,20,323,263
888,20.5,20.5,336,270
929,21,21,356,283
953,21.5,21.5,362,296
1017,22,22,376,303
1073,22.5,22.5,392,316
1114,23,23,415,323
1147,23.5,23.5,422,336
1182,24,24,429,356
1219,24.5,24.5,448,356
1249,25,25,461,369
1284,25.5,25.5,474,375
1322,26,26,488,389
1359,26.5,26.5,501,402
1391,27,27,514,415
1417,27.5,27.5,533,421
1451,28,28,541,428
1505,28.5,28.5,553,441
1552,29,29,567,455
1589,29.5,29.5,579,461
1642,30,30,599,474
1689,30.5,30.5,613,481
1724,31,31,626,494
1757,31.5,31.5,633,507
1787,32,32,652,513
1817,32.5,32.5,665,522
1849,33,33,679,540
1897,33.5,33.5,685,547
1953,34,34,709,560
1998,34.5,34.5,718,573
2026,35,35,731,579
2059,35.5,35.5,744,593
2091,36,36,757,599
2133,36.5,36.5,771,613
2159,37,37,784,625
2187,37.5,37.5,797,632
2222,38,38,817,639
2250,38.5,38.5,829,658
2303,39,39,837,665
2338,39.5,39.5,854,678
2362,40,40,870,685
2397,40.5,40.5,889,691
2412,41,41,896,711
2445,41.5,41.5,908,718
2472,42,42,922,731
2495,42.5,42.5,935,737
2520,43,43,948,750
2544,43.5,43.5,961,757
2568,44,44,981,770
2587,44.5,44.5,988,784
2623,45,45,1007,796
2641,45.5,45.5,1014,803
2675,46,46,1034,817
2694,46.5,46.5,1040,816
2720,47,47,1066,836
2747,47.5,47.5,1066,842
2781,48,48,1086,856
2800,48.5,48.5,1100,869
2834,49,49,1113,875
2885,49.5,49.5,1125,888
2922,50,50,1145,902
2957,50.5,50.5,1152,908
2978,51,51,1165,922
3017,51.5,51.5,1184,934
3045,52,52,1195,947
3070,52.5,52.5,1211,948
3116,53,53,1218,961
3145,53.5,53.5,1231,974
3176,54,54,1244,987
3201,54.5,54.5,1263,994
3240,55,55,1277,1007
3270,55.5,55.5,1290,1013
3306,56,56,1303,1026
3344,56.5,56.5,1316,1040
3371,57,57,1329,1046
3407,57.5,57.5,1341,1052
3457,58,58,1363,1066
3472,58.5,58.5,1368,1078
3510,59,59,1381,1092
3553,59.5,59.5,1396,1106
3599,60,60,1421,1112
3643,60.5,60.5,1427,1125
3709,61,61,1435,1132
3727,61.5,61.5,1446,1143
3754,62,62,1465,1150
3796,62.5,62.5,1480,1164
3843,63,63,1492,1183
3884,63.5,63.5,1507,1184
3916,64,64,1519,1197
3958,64.5,64.5,1538,1202
3989,65,65,1547,1217
4068,65.5,65.5,1559,1223
4091,66,66,1571,1243
4137,66.5,66.5,1584,1248
4184,67,67,1604,1256
4204,67.5,67.5,1617,1269
4259,68,68,1624,1275
4300,68.5,68.5,1643,1288
4320,69,69,1658,1302
4382,69.5,69.5,1672,1312
4397,70,70,1684,1322
4422,70.5,70.5,1698,1336
4457,71,71,1702,1347
4490,71.5,71.5,1723,1348
4521,72,72,1737,1362
4547,72.5,72.5,1749,1374
4580,73,73,1763,1388
4608,73.5,73.5,1774,1400
4646,74,74,1794,1408
4666,74.5,74.5,1800,1419
4693,75,75,1816,1427
4722,75.5,75.5,1834,1440
4757,76,76,1848,1454
4792,76.5,76.5,1854,1460
4834,77,77,1871,1464
4858,77.5,77.5,1881,1479
4966,78,78,1894,1492
5013,78.5,78.5,1910,1497
5058,79,79,1927,1512
5106,79.5,79.5,1939,1518
5171,80,80,1950,1536
5238,80.5,80.5,1965,1544
5300,81,81,1986,1558
5365,81.5,81.5,1995,1562
5430,82,82,2010,1576
5445,82.5,82.5,2024,1584
5535,83,83,2036,1596
5564,83.5,83.5,2050,1610
5633,84,84,2070,1616
5692,84.5,84.5,2077,1630
5772,85,85,2091,1637
9493,85.5,85.5,2108,1654
9587,86,86,2116,1662
9674,86.5,86.5,2129,1669
9761,87,87,2144,1683
10057,87.5,87.5,2160,1687
10173,88,88,2168,1701
10228,88.5,88.5,2188,1715
10383,89,89,2196,1719
10493,89.5,89.5,2207,1734
10605,90,90,2556,1919
