Time[s],TargetDutyFloor_Perc,TargetDutyRoof_Perc,HVRear__CstPwrFloor_W,HVRear__CstPwrRoof_W
53,10,10,46,46
68,10.5,10.5,65,59
103,11,11,78,72
147,11.5,11.5,92,85
167,12,12,105,92
206,12.5,12.5,118,105
236,13,13,131,118
269,13.5,13.5,144,125
307,14,14,158,138
332,14.5,14.5,177,144
387,15,15,184,158
424,15.5,15.5,204,177
460,16,16,217,177
489,16.5,16.5,237,190
516,17,17,243,197
549,17.5,17.5,256,210
595,18,18,270,217
631,18.5,18.5,283,237
645,19,19,296,237
693,19.5,19.5,309,250
711,20,20,322,263
737,20.5,20.5,336,270
763,21,21,355,283
783,21.5,21.5,362,296
835,22,22,381,302
862,22.5,22.5,395,309
886,23,23,414,322
919,23.5,23.5,421,335
949,24,24,434,355
967,24.5,24.5,447,355
988,25,25,461,368
1000,25.5,25.5,474,375
1025,26,26,487,388
1066,26.5,26.5,500,398
1096,27,27,513,414
1116,27.5,27.5,533,421
1147,28,28,540,428
1171,28.5,28.5,553,441
1190,29,29,566,454
1205,29.5,29.5,579,461
1237,30,30,599,473
1258,30.5,30.5,612,480
1283,31,31,625,493
1306,31.5,31.5,638,507
1334,32,32,652,513
1359,32.5,32.5,665,520
1380,33,33,678,540
1399,33.5,33.5,684,546
1412,34,34,710,559
1436,34.5,34.5,717,572
1456,35,35,730,579
1468,35.5,35.5,744,592
1495,36,36,757,599
1514,36.5,36.5,777,612
1532,37,37,783,625
1551,37.5,37.5,796,631
1573,38,38,814,638
1600,38.5,38.5,829,658
1620,39,39,842,664
1636,39.5,39.5,856,678
1660,40,40,869,684
1679,40.5,40.5,889,691
1691,41,41,895,710
1737,41.5,41.5,908,724
1768,42,42,921,730
1800,42.5,42.5,935,737
1820,43,43,948,750
1855,43.5,43.5,967,757
1878,44,44,980,769
1940,44.5,44.5,987,783
1988,45,45,1006,795
2004,45.5,45.5,1020,803
2041,46,46,1033,816
2077,46.5,46.5,1045,828
2098,47,47,1065,835
2113,47.5,47.5,1065,842
2134,48,48,1085,861
2193,48.5,48.5,1099,869
2261,49,49,1111,874
2301,49.5,49.5,1125,887
2335,50,50,1143,893
2383,50.5,50.5,1152,908
2413,51,51,1165,922
2443,51.5,51.5,1183,933
2502,52,52,1195,945
2581,52.5,52.5,1210,947
2631,53,53,1217,967
2676,53.5,53.5,1229,972
2712,54,54,1249,979
2742,54.5,54.5,1262,993
2760,55,55,1275,1006
2791,55.5,55.5,1287,1011
2818,56,56,1302,1026
2844,56.5,56.5,1315,1039
2872,57,57,1327,1044
2911,57.5,57.5,1341,1052
2949,58,58,1360,1071
2979,58.5,58.5,1368,1078
3015,59,59,1381,1091
3050,59.5,59.5,1399,1103
3100,60,60,1420,1111
3133,60.5,60.5,1427,1124
3178,61,61,1433,1137
3216,61.5,61.5,1452,1143
3251,62,62,1465,1150
3300,62.5,62.5,1480,1164
3334,63,63,1492,1183
3368,63.5,63.5,1505,1189
3386,64,64,1519,1197
3423,64.5,64.5,1538,1202
3447,65,65,1551,1216
3475,65.5,65.5,1563,1222
3534,66,66,1572,1242
3569,66.5,66.5,1584,1248
3627,67,67,1604,1262
3786,67.5,67.5,1616,1268
3826,68,68,1630,1275
3862,68.5,68.5,1643,1292
3889,69,69,1657,1302
3917,69.5,69.5,1669,1314
3948,70,70,1680,1319
3982,70.5,70.5,1701,1333
4012,71,71,1714,1346
4049,71.5,71.5,1723,1346
4073,72,72,1735,1366
4104,72.5,72.5,1747,1373
4131,73,73,1773,1386
4164,73.5,73.5,1781,1393
4195,74,74,1793,1405
4215,74.5,74.5,1800,1419
4246,75,75,1816,1425
4280,75.5,75.5,1832,1438
4311,76,76,1845,1451
4340,76.5,76.5,1860,1459
4364,77,77,1874,1466
4400,77.5,77.5,1879,1478
4428,78,78,1893,1492
4461,78.5,78.5,1910,1497
4492,79,79,1927,1512
4516,79.5,79.5,1940,1519
4566,80,80,1950,1536
4614,80.5,80.5,1964,1543
4678,81,81,1986,1551
4734,81.5,81.5,1996,1562
4794,82,82,1997,1576
4849,82.5,82.5,2023,1584
4908,83,83,2038,1597
4974,83.5,83.5,2044,1610
5038,84,84,2070,1616
5078,84.5,84.5,2077,1630
5113,85,85,2087,1634
5207,85.5,85.5,2108,1647
5236,86,86,2116,1656
5317,86.5,86.5,2129,1669
5400,87,87,2144,1683
5456,87.5,87.5,2160,1687
5509,88,88,2168,1701
5542,88.5,88.5,2184,1712
5594,89,89,2194,1714
5687,89.5,89.5,2206,1733
5758,90,90,2502,1832
