Time[s],L_ATCU_FHPTCDrTrgtDty[%],L_ATCU_FHPTCPassTrgtDty[%],FHPTC_DrCnsmptPwr_W[W],FHPTC_PassCnsmptPwr_W[W]
28,10,10,50,50
52,10.5,10.5,68,68
81,11,11,86,86
112,11.5,11.5,104,104
150,12,12,126,129
183,12.5,12.5,146,145
204,13,13,166,167
243,13.5,13.5,188,185
272,14,14,208,208
301,14.5,14.5,223,223
342,15,15,241,241
360,15.5,15.5,259,259
386,16,16,277,277
424,16.5,16.5,297,298
473,17,17,316,316
556,17.5,17.5,335,334
582,18,18,357,354
604,18.5,18.5,371,374
628,19,19,392,398
659,19.5,19.5,413,417
677,20,20,431,431
696,20.5,20.5,450,450
708,21,21,468,468
733,21.5,21.5,486,486
745,22,22,504,504
785,22.5,22.5,527,526
807,23,23,544,542
842,23.5,23.5,566,567
858,24,24,584,583
892,24.5,24.5,603,602
902,25,25,625,625
924,25.5,25.5,639,639
942,26,26,658,658
970,26.5,26.5,675,675
994,27,27,697,698
1029,27.5,27.5,712,715
1057,28,28,734,739
1073,28.5,28.5,753,754
1101,29,29,776,776
1127,29.5,29.5,793,792
1162,30,30,811,811
1195,30.5,30.5,834,832
1235,31,31,848,848
1272,31.5,31.5,871,866
1291,32,32,887,886
1321,32.5,32.5,907,907
1355,33,33,929,928
1404,33.5,33.5,946,946
1424,34,34,966,966
1443,34.5,34.5,984,984
1491,35,35,1001,1002
1529,35.5,35.5,1017,1017
1602,36,36,1038,1039
1652,36.5,36.5,1058,1059
1696,37,37,1077,1076
1742,37.5,37.5,1096,1100
1767,38,38,1117,1108
1816,38.5,38.5,1134,1134
1864,39,39,1156,1156
1912,39.5,39.5,1173,1172
1971,40,40,1194,1191
2004,40.5,40.5,1211,1212
2058,41,41,1230,1229
2101,41.5,41.5,1247,1249
2140,42,42,1266,1267
2181,42.5,42.5,1287,1288
2203,43,43,1306,1305
2225,43.5,43.5,1324,1323
2246,44,44,1345,1344
2306,44.5,44.5,1363,1364
2345,45,45,1381,1381
2372,45.5,45.5,1403,1398
2403,46,46,1419,1419
2439,46.5,46.5,1439,1439
2493,47,47,1460,1460
2537,47.5,47.5,1474,1474
2583,48,48,1496,1494
2606,48.5,48.5,1514,1514
2633,49,49,1534,1537
2665,49.5,49.5,1555,1551
2704,50,50,1573,1571
2739,50.5,50.5,1590,1592
2763,51,51,1609,1609
2787,51.5,51.5,1628,1628
2825,52,52,1645,1645
2892,52.5,52.5,1668,1666
2911,53,53,1687,1688
2933,53.5,53.5,1704,1711
2972,54,54,1724,1723
2994,54.5,54.5,1749,1744
3020,55,55,1761,1761
3064,55.5,55.5,1780,1780
3091,56,56,1799,1799
3124,56.5,56.5,1818,1821
3151,57,57,1839,1838
3181,57.5,57.5,1856,1856
3211,58,58,1874,1874
3258,58.5,58.5,1894,1897
3288,59,59,1915,1915
3333,59.5,59.5,1933,1933
3388,60,60,1951,1951
3423,60.5,60.5,1969,1969
3482,61,61,1989,1989
3550,61.5,61.5,2010,2011
3592,62,62,2030,2027
3629,62.5,62.5,2047,2049
3660,63,63,2069,2067
3699,63.5,63.5,2086,2087
3739,64,64,2103,2103
3784,64.5,64.5,2122,2122
3840,65,65,2141,2141
3895,65.5,65.5,2165,2162
3926,66,66,2177,2180
3956,66.5,66.5,2199,2199
4000,67,67,2216,2217
4029,67.5,67.5,2236,2236
4085,68,68,2256,2256
4114,68.5,68.5,2274,2276
4182,69,69,2294,2294
4224,69.5,69.5,2312,2315
4301,70,70,2334,2332
4357,70.5,70.5,2350,2349
4402,71,71,2374,2370
4439,71.5,71.5,2390,2391
4495,72,72,2408,2408
4522,72.5,72.5,2427,2430
4560,73,73,2447,2447
4596,73.5,73.5,2466,2465
4644,74,74,2481,2484
4709,74.5,74.5,2504,2502
4786,75,75,2527,2523
4817,75.5,75.5,2541,2541
4873,76,76,2561,2561
4900,76.5,76.5,2579,2579
4954,77,77,2599,2599
4979,77.5,77.5,2617,2618
5070,78,78,2638,2636
5165,78.5,78.5,2655,2658
5226,79,79,2677,2673
5263,79.5,79.5,2696,2695
5322,80,80,2715,2714
5410,80.5,80.5,2731,2731
5458,81,81,2751,2752
5507,81.5,81.5,2769,2769
5585,82,82,2785,2786
5676,82.5,82.5,2806,2804
5738,83,83,2826,2830
5797,83.5,83.5,2848,2845
5867,84,84,2867,2869
5957,84.5,84.5,2883,2887
6028,85,85,2902,2902
6122,85.5,85.5,2921,2921
6194,86,86,2940,2940
6381,86.5,86.5,2961,2965
6490,87,87,2981,2980
6579,87.5,87.5,3000,3001
6699,88,88,3014,3013
6786,88.5,88.5,3036,3038
6882,89,89,3058,3057
6976,89.5,89.5,3072,3072
7139,90,90,3102,3100
