Time[s],CM_PTCPsTargetDuty[%],CM_PTCDrTargetDuty[%],PTC_ConsumptionPsPwr_W[W],PTC_ConsumptionDrPwr_W[W]
358,10,10,50,50
379,10.5,10.5,63,63
411,11,11,76,76
458,11.5,11.5,89,89
489,12,12,109,106
529,12.5,12.5,118,119
560,13,13,134,132
582,13.5,13.5,148,147
617,14,14,161,160
639,14.5,14.5,176,176
670,15,15,188,189
695,15.5,15.5,203,203
719,16,16,216,216
738,16.5,16.5,229,229
773,17,17,240,240
801,17.5,17.5,253,253
825,18,18,271,271
873,18.5,18.5,284,284
910,19,19,297,297
931,19.5,19.5,311,311
956,20,20,328,328
973,20.5,20.5,340,340
997,21,21,356,356
1023,21.5,21.5,369,369
1034,22,22,380,381
1061,22.5,22.5,393,393
1082,23,23,406,406
1104,23.5,23.5,421,420
1152,24,24,433,434
1173,24.5,24.5,450,450
1206,25,25,461,460
1226,25.5,25.5,476,476
1251,26,26,492,491
1263,26.5,26.5,502,505
1285,27,27,518,519
1316,27.5,27.5,531,531
1339,28,28,547,547
1360,28.5,28.5,557,560
1407,29,29,569,569
1427,29.5,29.5,586,586
1465,30,30,598,598
1491,30.5,30.5,614,614
1507,31,31,631,630
1524,31.5,31.5,644,644
1552,32,32,657,656
1566,32.5,32.5,668,668
1593,33,33,681,681
1621,33.5,33.5,695,695
1678,34,34,710,710
1735,34.5,34.5,723,722
1764,35,35,740,742
1789,35.5,35.5,751,751
1808,36,36,768,766
1827,36.5,36.5,782,780
1848,37,37,792,791
1870,37.5,37.5,806,806
1883,38,38,820,820
1899,38.5,38.5,834,834
1926,39,39,847,847
1949,39.5,39.5,863,864
1974,40,40,872,873
1989,40.5,40.5,889,888
2005,41,41,905,905
2032,41.5,41.5,917,917
2042,42,42,931,931
2062,42.5,42.5,945,945
2081,43,43,959,959
2097,43.5,43.5,971,971
2112,44,44,985,985
2152,44.5,44.5,1000,1003
2171,45,45,1011,1013
2196,45.5,45.5,1029,1029
2215,46,46,1040,1039
2240,46.5,46.5,1054,1054
2276,47,47,1065,1065
2305,47.5,47.5,1079,1079
2322,48,48,1096,1095
2358,48.5,48.5,1104,1104
2369,49,49,1123,1125
2396,49.5,49.5,1138,1136
2410,50,50,1152,1150
2430,50.5,50.5,1165,1163
2443,51,51,1178,1176
2486,51.5,51.5,1191,1191
2493,52,52,1204,1204
2524,52.5,52.5,1217,1217
2551,53,53,1232,1235
2575,53.5,53.5,1246,1250
2595,54,54,1260,1259
2613,54.5,54.5,1275,1275
2631,55,55,1288,1287
2649,55.5,55.5,1302,1301
2668,56,56,1316,1316
2690,56.5,56.5,1330,1330
2706,57,57,1343,1343
2725,57.5,57.5,1361,1357
2750,58,58,1370,1370
2768,58.5,58.5,1381,1388
2787,59,59,1396,1398
2804,59.5,59.5,1413,1412
2835,60,60,1425,1424
2849,60.5,60.5,1440,1440
2871,61,61,1453,1452
2887,61.5,61.5,1468,1467
2910,62,62,1480,1479
2939,62.5,62.5,1490,1490
2978,63,63,1506,1509
3015,63.5,63.5,1522,1519
3033,64,64,1536,1536
3042,64.5,64.5,1548,1549
3068,65,65,1563,1564
3083,65.5,65.5,1575,1575
3105,66,66,1589,1588
3133,66.5,66.5,1602,1602
3153,67,67,1615,1615
3211,67.5,67.5,1632,1631
3224,68,68,1643,1642
3244,68.5,68.5,1660,1659
3263,69,69,1671,1672
3283,69.5,69.5,1687,1687
3301,70,70,1701,1700
3321,70.5,70.5,1712,1711
3347,71,71,1728,1728
3369,71.5,71.5,1740,1740
3394,72,72,1757,1755
3411,72.5,72.5,1770,1768
3441,73,73,1786,1788
3483,73.5,73.5,1796,1800
3501,74,74,1809,1809
3519,74.5,74.5,1826,1825
3542,75,75,1838,1837
3564,75.5,75.5,1852,1852
3606,76,76,1863,1863
3638,76.5,76.5,1887,1884
3668,77,77,1890,1893
3692,77.5,77.5,1902,1902
3769,78,78,1918,1921
3783,78.5,78.5,1929,1936
3808,79,79,1949,1948
3825,79.5,79.5,1961,1959
3845,80,80,1976,1976
3870,80.5,80.5,1987,1987
3888,81,81,2002,2002
3911,81.5,81.5,2015,2015
3983,82,82,2028,2028
4015,82.5,82.5,2047,2046
4055,83,83,2056,2056
4086,83.5,83.5,2072,2072
4112,84,84,2086,2084
4135,84.5,84.5,2096,2097
4163,85,85,2111,2111
4199,85.5,85.5,2125,2125
4224,86,86,2139,2139
4284,86.5,86.5,2152,2152
4311,87,87,2167,2170
4360,87.5,87.5,2181,2181
4394,88,88,2198,2198
4436,88.5,88.5,2209,2208
4466,89,89,2223,2222
4501,89.5,89.5,2235,2235
4552,90,90,2250,2250
